"Entity,Day,""Daily new confirmed cases of COVID-19 per million people in Germany"""
Germany,2020-03-01,0.23615229
Germany,2020-03-02,0.23615229
Germany,2020-03-03,0.23615229
Germany,2020-03-04,0.23615229
Germany,2020-03-05,0.23615229
Germany,2020-03-06,0.23615229
Germany,2020-03-07,0.23615229
Germany,2020-03-08,1.5375383
Germany,2020-03-09,1.5375383
Germany,2020-03-10,1.5375383
Germany,2020-03-11,1.5375383
Germany,2020-03-12,1.5375383
Germany,2020-03-13,1.5375383
Germany,2020-03-14,1.5375383
Germany,2020-03-15,10.942855
Germany,2020-03-16,10.942855
Germany,2020-03-17,10.942855
Germany,2020-03-18,10.942855
Germany,2020-03-19,10.942855
Germany,2020-03-20,10.942855
Germany,2020-03-21,10.942855
Germany,2020-03-22,38.06809
Germany,2020-03-23,38.06809
Germany,2020-03-24,38.06809
Germany,2020-03-25,38.06809
Germany,2020-03-26,38.06809
Germany,2020-03-27,38.06809
Germany,2020-03-28,38.06809
Germany,2020-03-29,57.73159
Germany,2020-03-30,57.73159
Germany,2020-03-31,57.73159
Germany,2020-04-01,57.73159
Germany,2020-04-02,57.73159
Germany,2020-04-03,57.73159
Germany,2020-04-04,57.73159
Germany,2020-04-05,61.275574
Germany,2020-04-06,61.275574
Germany,2020-04-07,61.275574
Germany,2020-04-08,61.275574
Germany,2020-04-09,61.275574
Germany,2020-04-10,61.275574
Germany,2020-04-11,61.275574
Germany,2020-04-12,46.117653
Germany,2020-04-13,46.117653
Germany,2020-04-14,46.117653
Germany,2020-04-15,46.117653
Germany,2020-04-16,46.117653
Germany,2020-04-17,46.117653
Germany,2020-04-18,46.117653
Germany,2020-04-19,29.468067
Germany,2020-04-20,29.468067
Germany,2020-04-21,29.468067
Germany,2020-04-22,29.468067
Germany,2020-04-23,29.468067
Germany,2020-04-24,29.468067
Germany,2020-04-25,29.468067
Germany,2020-04-26,20.983576
Germany,2020-04-27,20.983576
Germany,2020-04-28,20.983576
Germany,2020-04-29,20.983576
Germany,2020-04-30,20.983576
Germany,2020-05-01,20.983576
Germany,2020-05-02,20.983576
Germany,2020-05-03,12.643492
Germany,2020-05-04,12.643492
Germany,2020-05-05,12.643492
Germany,2020-05-06,12.643492
Germany,2020-05-07,12.643492
Germany,2020-05-08,12.643492
Germany,2020-05-09,12.643492
Germany,2020-05-10,10.606465
Germany,2020-05-11,10.606465
Germany,2020-05-12,10.606465
Germany,2020-05-13,10.606465
Germany,2020-05-14,10.606465
Germany,2020-05-15,10.606465
Germany,2020-05-16,10.606465
Germany,2020-05-17,8.112426
Germany,2020-05-18,8.112426
Germany,2020-05-19,8.112426
Germany,2020-05-20,8.112426
Germany,2020-05-21,8.112426
Germany,2020-05-22,8.112426
Germany,2020-05-23,8.112426
Germany,2020-05-24,6.12297
Germany,2020-05-25,6.12297
Germany,2020-05-26,6.12297
Germany,2020-05-27,6.12297
Germany,2020-05-28,6.12297
Germany,2020-05-29,6.12297
Germany,2020-05-30,6.12297
Germany,2020-05-31,5.446793
Germany,2020-06-01,5.446793
Germany,2020-06-02,5.446793
Germany,2020-06-03,5.446793
Germany,2020-06-04,5.446793
Germany,2020-06-05,5.446793
Germany,2020-06-06,5.446793
Germany,2020-06-07,3.9992986
Germany,2020-06-08,3.9992986
Germany,2020-06-09,3.9992986
Germany,2020-06-10,3.9992986
Germany,2020-06-11,3.9992986
Germany,2020-06-12,3.9992986
Germany,2020-06-13,3.9992986
Germany,2020-06-14,3.9891047
Germany,2020-06-15,3.9891047
Germany,2020-06-16,3.9891047
Germany,2020-06-17,3.9891047
Germany,2020-06-18,3.9891047
Germany,2020-06-19,3.9891047
Germany,2020-06-20,3.9891047
Germany,2020-06-21,7.1219454
Germany,2020-06-22,7.1219454
Germany,2020-06-23,7.1219454
Germany,2020-06-24,7.1219454
Germany,2020-06-25,7.1219454
Germany,2020-06-26,7.1219454
Germany,2020-06-27,7.1219454
Germany,2020-06-28,5.3805346
Germany,2020-06-29,5.3805346
Germany,2020-06-30,5.3805346
Germany,2020-07-01,5.3805346
Germany,2020-07-02,5.3805346
Germany,2020-07-03,5.3805346
Germany,2020-07-04,5.3805346
Germany,2020-07-05,4.5718403
Germany,2020-07-06,4.5718403
Germany,2020-07-07,4.5718403
Germany,2020-07-08,4.5718403
Germany,2020-07-09,4.5718403
Germany,2020-07-10,4.5718403
Germany,2020-07-11,4.5718403
Germany,2020-07-12,4.126719
Germany,2020-07-13,4.126719
Germany,2020-07-14,4.126719
Germany,2020-07-15,4.126719
Germany,2020-07-16,4.126719
Germany,2020-07-17,4.126719
Germany,2020-07-18,4.126719
Germany,2020-07-19,5.171565
Germany,2020-07-20,5.171565
Germany,2020-07-21,5.171565
Germany,2020-07-22,5.171565
Germany,2020-07-23,5.171565
Germany,2020-07-24,5.171565
Germany,2020-07-25,5.171565
Germany,2020-07-26,6.6870174
Germany,2020-07-27,6.6870174
Germany,2020-07-28,6.6870174
Germany,2020-07-29,6.6870174
Germany,2020-07-30,6.6870174
Germany,2020-07-31,6.6870174
Germany,2020-08-01,6.6870174
Germany,2020-08-02,8.227954
Germany,2020-08-03,8.227954
Germany,2020-08-04,8.227954
Germany,2020-08-05,8.227954
Germany,2020-08-06,8.227954
Germany,2020-08-07,8.227954
Germany,2020-08-08,8.227954
Germany,2020-08-09,10.307453
Germany,2020-08-10,10.307453
Germany,2020-08-11,10.307453
Germany,2020-08-12,10.307453
Germany,2020-08-13,10.307453
Germany,2020-08-14,10.307453
Germany,2020-08-15,10.307453
Germany,2020-08-16,13.54223
Germany,2020-08-17,13.54223
Germany,2020-08-18,13.54223
Germany,2020-08-19,13.54223
Germany,2020-08-20,13.54223
Germany,2020-08-21,13.54223
Germany,2020-08-22,13.54223
Germany,2020-08-23,16.27582
Germany,2020-08-24,16.27582
Germany,2020-08-25,16.27582
Germany,2020-08-26,16.27582
Germany,2020-08-27,16.27582
Germany,2020-08-28,16.27582
Germany,2020-08-29,16.27582
Germany,2020-08-30,15.025402
Germany,2020-08-31,15.025402
Germany,2020-09-01,15.025402
Germany,2020-09-02,15.025402
Germany,2020-09-03,15.025402
Germany,2020-09-04,15.025402
Germany,2020-09-05,15.025402
Germany,2020-09-06,14.626151
Germany,2020-09-07,14.626151
Germany,2020-09-08,14.626151
Germany,2020-09-09,14.626151
Germany,2020-09-10,14.626151
Germany,2020-09-11,14.626151
Germany,2020-09-12,14.626151
Germany,2020-09-13,16.624102
Germany,2020-09-14,16.624102
Germany,2020-09-15,16.624102
Germany,2020-09-16,16.624102
Germany,2020-09-17,16.624102
Germany,2020-09-18,16.624102
Germany,2020-09-19,16.624102
Germany,2020-09-20,20.871445
Germany,2020-09-21,20.871445
Germany,2020-09-22,20.871445
Germany,2020-09-23,20.871445
Germany,2020-09-24,20.871445
Germany,2020-09-25,20.871445
Germany,2020-09-26,20.871445
Germany,2020-09-27,22.194918
Germany,2020-09-28,22.194918
Germany,2020-09-29,22.194918
Germany,2020-09-30,22.194918
Germany,2020-10-01,22.194918
Germany,2020-10-02,22.194918
Germany,2020-10-03,22.194918
Germany,2020-10-04,27.091255
Germany,2020-10-05,27.091255
Germany,2020-10-06,27.091255
Germany,2020-10-07,27.091255
Germany,2020-10-08,27.091255
Germany,2020-10-09,27.091255
Germany,2020-10-10,27.091255
Germany,2020-10-11,44.418716
Germany,2020-10-12,44.418716
Germany,2020-10-13,44.418716
Germany,2020-10-14,44.418716
Germany,2020-10-15,44.418716
Germany,2020-10-16,44.418716
Germany,2020-10-17,44.418716
Germany,2020-10-18,71.408035
Germany,2020-10-19,71.408035
Germany,2020-10-20,71.408035
Germany,2020-10-21,71.408035
Germany,2020-10-22,71.408035
Germany,2020-10-23,71.408035
Germany,2020-10-24,71.408035
Germany,2020-10-25,127.06692
Germany,2020-10-26,127.06692
Germany,2020-10-27,127.06692
Germany,2020-10-28,127.06692
Germany,2020-10-29,127.06692
Germany,2020-10-30,127.06692
Germany,2020-10-31,127.06692
Germany,2020-11-01,188.59734
Germany,2020-11-02,188.59734
Germany,2020-11-03,188.59734
Germany,2020-11-04,188.59734
Germany,2020-11-05,188.59734
Germany,2020-11-06,188.59734
Germany,2020-11-07,188.59734
Germany,2020-11-08,213.54283
Germany,2020-11-09,213.54283
Germany,2020-11-10,213.54283
Germany,2020-11-11,213.54283
Germany,2020-11-12,213.54283
Germany,2020-11-13,213.54283
Germany,2020-11-14,213.54283
Germany,2020-11-15,217.22952
Germany,2020-11-16,217.22952
Germany,2020-11-17,217.22952
Germany,2020-11-18,217.22952
Germany,2020-11-19,217.22952
Germany,2020-11-20,217.22952
Germany,2020-11-21,217.22952
Germany,2020-11-22,218.14355
Germany,2020-11-23,218.14355
Germany,2020-11-24,218.14355
Germany,2020-11-25,218.14355
Germany,2020-11-26,218.14355
Germany,2020-11-27,218.14355
Germany,2020-11-28,218.14355
Germany,2020-11-29,209.17656
Germany,2020-11-30,209.17656
Germany,2020-12-01,209.17656
Germany,2020-12-02,209.17656
Germany,2020-12-03,209.17656
Germany,2020-12-04,209.17656
Germany,2020-12-05,209.17656
Germany,2020-12-06,217.9023
Germany,2020-12-07,217.9023
Germany,2020-12-08,217.9023
Germany,2020-12-09,217.9023
Germany,2020-12-10,217.9023
Germany,2020-12-11,217.9023
Germany,2020-12-12,217.9023
Germany,2020-12-13,265.3961
Germany,2020-12-14,265.3961
Germany,2020-12-15,265.3961
Germany,2020-12-16,265.3961
Germany,2020-12-17,265.3961
Germany,2020-12-18,265.3961
Germany,2020-12-19,265.3961
Germany,2020-12-20,296.61578
Germany,2020-12-21,296.61578
Germany,2020-12-22,296.61578
Germany,2020-12-23,296.61578
Germany,2020-12-24,296.61578
Germany,2020-12-25,296.61578
Germany,2020-12-26,296.61578
Germany,2020-12-27,235.86008
Germany,2020-12-28,235.86008
Germany,2020-12-29,235.86008
Germany,2020-12-30,235.86008
Germany,2020-12-31,235.86008
Germany,2021-01-01,235.86008
Germany,2021-01-02,235.86008
Germany,2021-01-03,208.88943
Germany,2021-01-04,208.88943
Germany,2021-01-05,208.88943
Germany,2021-01-06,208.88943
Germany,2021-01-07,208.88943
Germany,2021-01-08,208.88943
Germany,2021-01-09,208.88943
Germany,2021-01-10,247.20387
Germany,2021-01-11,247.20387
Germany,2021-01-12,247.20387
Germany,2021-01-13,247.20387
Germany,2021-01-14,247.20387
Germany,2021-01-15,247.20387
Germany,2021-01-16,247.20387
Germany,2021-01-17,202.05292
Germany,2021-01-18,202.05292
Germany,2021-01-19,202.05292
Germany,2021-01-20,202.05292
Germany,2021-01-21,202.05292
Germany,2021-01-22,202.05292
Germany,2021-01-23,202.05292
Germany,2021-01-24,162.33856
Germany,2021-01-25,162.33856
Germany,2021-01-26,162.33856
Germany,2021-01-27,162.33856
Germany,2021-01-28,162.33856
Germany,2021-01-29,162.33856
Germany,2021-01-30,162.33856
Germany,2021-01-31,132.80933
Germany,2021-02-01,132.80933
Germany,2021-02-02,132.80933
Germany,2021-02-03,132.80933
Germany,2021-02-04,132.80933
Germany,2021-02-05,132.80933
Germany,2021-02-06,132.80933
Germany,2021-02-07,109.74455
Germany,2021-02-08,109.74455
Germany,2021-02-09,109.74455
Germany,2021-02-10,109.74455
Germany,2021-02-11,109.74455
Germany,2021-02-12,109.74455
Germany,2021-02-13,109.74455
Germany,2021-02-14,86.35189
Germany,2021-02-15,86.35189
Germany,2021-02-16,86.35189
Germany,2021-02-17,86.35189
Germany,2021-02-18,86.35189
Germany,2021-02-19,86.35189
Germany,2021-02-20,86.35189
Germany,2021-02-21,88.903694
Germany,2021-02-22,88.903694
Germany,2021-02-23,88.903694
Germany,2021-02-24,88.903694
Germany,2021-02-25,88.903694
Germany,2021-02-26,88.903694
Germany,2021-02-27,88.903694
Germany,2021-02-28,95.745316
Germany,2021-03-01,95.745316
Germany,2021-03-02,95.745316
Germany,2021-03-03,95.745316
Germany,2021-03-04,95.745316
Germany,2021-03-05,95.745316
Germany,2021-03-06,95.745316
Germany,2021-03-07,99.260414
Germany,2021-03-08,99.260414
Germany,2021-03-09,99.260414
Germany,2021-03-10,99.260414
Germany,2021-03-11,99.260414
Germany,2021-03-12,99.260414
Germany,2021-03-13,99.260414
Germany,2021-03-14,121.28883
Germany,2021-03-15,121.28883
Germany,2021-03-16,121.28883
Germany,2021-03-17,121.28883
Germany,2021-03-18,121.28883
Germany,2021-03-19,121.28883
Germany,2021-03-20,121.28883
Germany,2021-03-21,157.3386
Germany,2021-03-22,157.3386
Germany,2021-03-23,157.3386
Germany,2021-03-24,157.3386
Germany,2021-03-25,157.3386
Germany,2021-03-26,157.3386
Germany,2021-03-27,157.3386
Germany,2021-03-28,197.6017
Germany,2021-03-29,197.6017
Germany,2021-03-30,197.6017
Germany,2021-03-31,197.6017
Germany,2021-04-01,197.6017
Germany,2021-04-02,197.6017
Germany,2021-04-03,197.6017
Germany,2021-04-04,186.895
Germany,2021-04-05,186.895
Germany,2021-04-06,186.895
Germany,2021-04-07,186.895
Germany,2021-04-08,186.895
Germany,2021-04-09,186.895
Germany,2021-04-10,186.895
Germany,2021-04-11,200.794
Germany,2021-04-12,200.794
Germany,2021-04-13,200.794
Germany,2021-04-14,200.794
Germany,2021-04-15,200.794
Germany,2021-04-16,200.794
Germany,2021-04-17,200.794
Germany,2021-04-18,241.28477
Germany,2021-04-19,241.28477
Germany,2021-04-20,241.28477
Germany,2021-04-21,241.28477
Germany,2021-04-22,241.28477
Germany,2021-04-23,241.28477
Germany,2021-04-24,241.28477
Germany,2021-04-25,245.79886
Germany,2021-04-26,245.79886
Germany,2021-04-27,245.79886
Germany,2021-04-28,245.79886
Germany,2021-04-29,245.79886
Germany,2021-04-30,245.79886
Germany,2021-05-01,245.79886
Germany,2021-05-02,211.8303
Germany,2021-05-03,211.8303
Germany,2021-05-04,211.8303
Germany,2021-05-05,211.8303
Germany,2021-05-06,211.8303
Germany,2021-05-07,211.8303
Germany,2021-05-08,211.8303
Germany,2021-05-09,171.33273
Germany,2021-05-10,171.33273
Germany,2021-05-11,171.33273
Germany,2021-05-12,171.33273
Germany,2021-05-13,171.33273
Germany,2021-05-14,171.33273
Germany,2021-05-15,171.33273
Germany,2021-05-16,120.19302
Germany,2021-05-17,120.19302
Germany,2021-05-18,120.19302
Germany,2021-05-19,120.19302
Germany,2021-05-20,120.19302
Germany,2021-05-21,120.19302
Germany,2021-05-22,120.19302
Germany,2021-05-23,89.48303
Germany,2021-05-24,89.48303
Germany,2021-05-25,89.48303
Germany,2021-05-26,89.48303
Germany,2021-05-27,89.48303
Germany,2021-05-28,89.48303
Germany,2021-05-29,89.48303
Germany,2021-05-30,50.74216
Germany,2021-05-31,50.74216
Germany,2021-06-01,50.74216
Germany,2021-06-02,50.74216
Germany,2021-06-03,50.74216
Germany,2021-06-04,50.74216
Germany,2021-06-05,50.74216
Germany,2021-06-06,35.134026
Germany,2021-06-07,35.134026
Germany,2021-06-08,35.134026
Germany,2021-06-09,35.134026
Germany,2021-06-10,35.134026
Germany,2021-06-11,35.134026
Germany,2021-06-12,35.134026
Germany,2021-06-13,23.890457
Germany,2021-06-14,23.890457
Germany,2021-06-15,23.890457
Germany,2021-06-16,23.890457
Germany,2021-06-17,23.890457
Germany,2021-06-18,23.890457
Germany,2021-06-19,23.890457
Germany,2021-06-20,12.376759
Germany,2021-06-21,12.376759
Germany,2021-06-22,12.376759
Germany,2021-06-23,12.376759
Germany,2021-06-24,12.376759
Germany,2021-06-25,12.376759
Germany,2021-06-26,12.376759
Germany,2021-06-27,8.2551365
Germany,2021-06-28,8.2551365
Germany,2021-06-29,8.2551365
Germany,2021-06-30,8.2551365
Germany,2021-07-01,8.2551365
Germany,2021-07-02,8.2551365
Germany,2021-07-03,8.2551365
Germany,2021-07-04,7.454937
Germany,2021-07-05,7.454937
Germany,2021-07-06,7.454937
Germany,2021-07-07,7.454937
Germany,2021-07-08,7.454937
Germany,2021-07-09,7.454937
Germany,2021-07-10,7.454937
Germany,2021-07-11,9.508952
Germany,2021-07-12,9.508952
Germany,2021-07-13,9.508952
Germany,2021-07-14,9.508952
Germany,2021-07-15,9.508952
Germany,2021-07-16,9.508952
Germany,2021-07-17,9.508952
Germany,2021-07-18,15.482416
Germany,2021-07-19,15.482416
Germany,2021-07-20,15.482416
Germany,2021-07-21,15.482416
Germany,2021-07-22,15.482416
Germany,2021-07-23,15.482416
Germany,2021-07-24,15.482416
Germany,2021-07-25,21.484762
Germany,2021-07-26,21.484762
Germany,2021-07-27,21.484762
Germany,2021-07-28,21.484762
Germany,2021-07-29,21.484762
Germany,2021-07-30,21.484762
Germany,2021-07-31,21.484762
Germany,2021-08-01,26.370905
Germany,2021-08-02,26.370905
Germany,2021-08-03,26.370905
Germany,2021-08-04,26.370905
Germany,2021-08-05,26.370905
Germany,2021-08-06,26.370905
Germany,2021-08-07,26.370905
Germany,2021-08-08,34.697395
Germany,2021-08-09,34.697395
Germany,2021-08-10,34.697395
Germany,2021-08-11,34.697395
Germany,2021-08-12,34.697395
Germany,2021-08-13,34.697395
Germany,2021-08-14,34.697395
Germany,2021-08-15,54.49681
Germany,2021-08-16,54.49681
Germany,2021-08-17,54.49681
Germany,2021-08-18,54.49681
Germany,2021-08-19,54.49681
Germany,2021-08-20,54.49681
Germany,2021-08-21,54.49681
Germany,2021-08-22,84.35564
Germany,2021-08-23,84.35564
Germany,2021-08-24,84.35564
Germany,2021-08-25,84.35564
Germany,2021-08-26,84.35564
Germany,2021-08-27,84.35564
Germany,2021-08-28,84.35564
Germany,2021-08-29,112.76017
Germany,2021-08-30,112.76017
Germany,2021-08-31,112.76017
Germany,2021-09-01,112.76017
Germany,2021-09-02,112.76017
Germany,2021-09-03,112.76017
Germany,2021-09-04,112.76017
Germany,2021-09-05,126.97348
Germany,2021-09-06,126.97348
Germany,2021-09-07,126.97348
Germany,2021-09-08,126.97348
Germany,2021-09-09,126.97348
Germany,2021-09-10,126.97348
Germany,2021-09-11,126.97348
Germany,2021-09-12,121.73905
Germany,2021-09-13,121.73905
Germany,2021-09-14,121.73905
Germany,2021-09-15,121.73905
Germany,2021-09-16,121.73905
Germany,2021-09-17,121.73905
Germany,2021-09-18,121.73905
Germany,2021-09-19,104.43538
Germany,2021-09-20,104.43538
Germany,2021-09-21,104.43538
Germany,2021-09-22,104.43538
Germany,2021-09-23,104.43538
Germany,2021-09-24,104.43538
Germany,2021-09-25,104.43538
Germany,2021-09-26,91.10212
Germany,2021-09-27,91.10212
Germany,2021-09-28,91.10212
Germany,2021-09-29,91.10212
Germany,2021-09-30,91.10212
Germany,2021-10-01,91.10212
Germany,2021-10-02,91.10212
Germany,2021-10-03,95.95768
Germany,2021-10-04,95.95768
Germany,2021-10-05,95.95768
Germany,2021-10-06,95.95768
Germany,2021-10-07,95.95768
Germany,2021-10-08,95.95768
Germany,2021-10-09,95.95768
Germany,2021-10-10,98.58084
Germany,2021-10-11,98.58084
Germany,2021-10-12,98.58084
Germany,2021-10-13,98.58084
Germany,2021-10-14,98.58084
Germany,2021-10-15,98.58084
Germany,2021-10-16,98.58084
Germany,2021-10-17,111.04085
Germany,2021-10-18,111.04085
Germany,2021-10-19,111.04085
Germany,2021-10-20,111.04085
Germany,2021-10-21,111.04085
Germany,2021-10-22,111.04085
Germany,2021-10-23,111.04085
Germany,2021-10-24,166.02525
Germany,2021-10-25,166.02525
Germany,2021-10-26,166.02525
Germany,2021-10-27,166.02525
Germany,2021-10-28,166.02525
Germany,2021-10-29,166.02525
Germany,2021-10-30,166.02525
Germany,2021-10-31,232.7731
Germany,2021-11-01,232.7731
